Date,Price
23/02/2021,103.54
22/02/2021,103.24
19/02/2021,105.06
18/02/2021,105.86
17/02/2021,106.42
16/02/2021,106.09
12/02/2021,105.21
11/02/2021,104.79
10/02/2021,104.77
09/02/2021,104.18
08/02/2021,104.65
05/02/2021,104.9
04/02/2021,103.12
03/02/2021,103.5
02/02/2021,96.38
01/02/2021,95.07
29/01/2021,91.79
28/01/2021,93.16
27/01/2021,91.54
26/01/2021,95.86
25/01/2021,94.97
22/01/2021,95.05
21/01/2021,94.56
20/01/2021,94.34
19/01/2021,89.54
15/01/2021,86.81
14/01/2021,87.01
13/01/2021,87.72
12/01/2021,87.33
11/01/2021,88.34
08/01/2021,90.36
07/01/2021,89.36
06/01/2021,86.76
05/01/2021,87.05
04/01/2021,86.41
